Participant,Fear_Neutral,Pupil,RT,Errors
1,F,29.55145928,320.7068966,8
1,N,23.80475089,249.5517241,3
2,F,23.44549113,386.2931034,10
2,N,17.14007654,441.6724138,12
3,F,26.86824821,372.637931,3
3,N,21.77399285,300.8103448,1
4,F,25.52508031,358.7931034,8
4,N,20.66526954,282.5172414,2
5,F,12.922153,509.3793103,13
5,N,8.973696174,503.6551724,15
6,F,19.45738263,305.6034483,6
6,N,15.77793626,258.0172414,6
7,F,28.09716007,332.2758621,4
7,N,22.33718025,267.3965517,2
8,F,26.81155638,260.7413793,14
8,N,20.70650093,226.7586207,14
9,F,20.7448629,308.8965517,7
9,N,16.94901924,246.3965517,3
10,F,19.52440217,321.9482759,9
10,N,15.80167645,263.637931,1
11,F,24.64993393,414.3103448,14
11,N,19.95278078,274.7931034,14
12,F,19.15838107,319.7931034,7
12,N,14.66633573,271.6206897,8
13,F,21.09101309,323.0517241,8
13,N,17.69399947,247.7931034,7
14,F,16.80110196,294.5,25
14,N,11.75538125,188.1896552,16
15,F,29.38289707,374.5517241,8
15,N,23.50534417,296.8448276,4
16,F,19.1982901,314.6896552,12
16,N,15.91382396,300.8793103,10
17,F,22.65722838,382.7931034,5
17,N,18.52846378,324.9482759,6
18,F,17.02095582,403.3793103,3
18,N,14.82409743,333.1724138,2
19,F,16.81488832,614.3965517,20
19,N,12.78023244,570.1896552,9
20,F,22.02500389,354.1896552,4
20,N,17.99227062,328.2413793,5
21,F,27.15107309,393.5862069,9
21,N,22.19271046,343.9137931,3
22,F,22.53909413,381.5172414,4
22,N,18.4791688,298.637931,2
23,F,15.5644934,303.6034483,17
23,N,12.99216047,281.362069,14
24,F,23.70249584,438.8275862,16
24,N,18.54399461,366.3448276,15
25,F,20.09366113,354.7931034,6
25,N,16.70213645,283.8793103,7
26,F,24.53591303,356.6206897,6
26,N,19.89234275,270.7586207,1
27,F,12.92691605,340.4137931,9
27,N,10.64366825,309.1724138,12
28,F,28.7672573,663.8448276,7
28,N,23.25664231,413.3965517,7
29,F,21.12179653,582.2241379,3
29,N,17.46321249,416.8103448,5
30,F,31.39397766,340.1034483,11
30,N,25.42949008,266.0172414,13
31,F,22.44575151,410.8965517,3
31,N,18.38641425,304.7758621,0
32,F,18.05200459,548.9827586,16
32,N,12.13931326,776.2758621,8
33,F,21.32922315,343.7931034,1
33,N,16.49525605,325.0689655,5
34,F,22.70663597,367.7586207,9
34,N,18.13657371,279.2931034,13
35,F,35.52253553,377.362069,8
35,N,28.98098938,323,7
36,F,36.83214623,359.3103448,1
36,N,29.85200834,308.0517241,1
37,F,22.61344495,666.2241379,6
37,N,18.53121737,531.3103448,3
38,F,20.76231875,402.1724138,2
38,N,16.073068,321.9310345,4
39,F,16.43428601,430.3448276,8
39,N,13.72645513,306.7413793,8
40,F,25.25632165,526.0172414,5
40,N,20.26939912,333.9655172,2
41,F,24.93991352,448.1206897,1
41,N,20.29044046,388.4310345,2
42,F,24.75749313,311.0689655,12
42,N,18.89548099,270.0344828,10
43,F,18.02277602,363.3275862,8
43,N,14.87940147,311.8965517,11
44,F,19.49123109,477.3793103,1
44,N,15.86188878,399.5,1
